CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Rensselaer,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,748027.16,
2015,Rensselaer,REAL PROPERTY TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,6384926,
2015,Rensselaer,SALES AND USE TAX,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,SALES TAX,,940363.29,
2015,Rensselaer,ADMINISTRATION-CONTRACTUAL,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,243241,
2015,Rensselaer,"UNALLOCATED INSURANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,15943.66,
2015,Rensselaer,CASH,BALANCE SHEET,CURRENT ASSETS,,,,1558560.06,
2015,Rensselaer,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,241.96,
2015,Rensselaer,"PERMITS, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,5702.1,
2015,Rensselaer,"SALES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,16858.17,
2015,Rensselaer,INSURANCE RECOVERIES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,COMPENSATION FOR LOSS,,884.08,
2015,Rensselaer,"ST AID, OTHER AID, (SPECIFY)",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,MISCELLANEOUS STATE AID,,3456.27,
2015,Rensselaer,"TRAFFIC CONTROL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Personal Services,65997,
2015,Rensselaer,"TRAFFIC CONTROL, CONTR EXPEN",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,183765.27,
2015,Rensselaer,"ST AID, CONSOLIDATED HIGHWAY AID",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - TRANSPORTATION,,2759212.42,
2015,Rensselaer,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,67372.65,
2015,Rensselaer,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,342500,
2015,Rensselaer,ST AID EMERGENCY DISASTER ASSIST,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,5109.26,
2015,Rensselaer,FEDERAL AID - OTHER,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,MISCELLANEOUS FEDERAL AID,,18425.23,
2015,Rensselaer,STATE & FEDERAL RECEIVABLES,BALANCE SHEET,CURRENT ASSETS,,,,1525875.23,
2015,Rensselaer,INVENTORY OF MATERIALS & SUPPLIES,BALANCE SHEET,CURRENT ASSETS,,,,241759.7,
2015,Rensselaer,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,99970.6,
2015,Rensselaer,"FED AID, EMERGENCY DISASTER ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - PUBLIC SAFETY,,15327.77,
2015,Rensselaer,"STREET ADMIN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,129600.96,
2015,Rensselaer,"STREET ADMIN, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Equipment and Capital Outlay,2551.68,
2015,Rensselaer,"STREET ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,54230.16,
2015,Rensselaer,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,142500,
2015,Rensselaer,"MAINT OF STREETS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,1091991.36,
2015,Rensselaer,"MAINT OF STREETS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,1138286.85,
2015,Rensselaer,"PERM IMPROVE HIGHWAY, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,581700.88,
2015,Rensselaer,"PERM IMPROVE HIGHWAY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,2177511.54,
2015,Rensselaer,"MAINT OF BRIDGES, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,36500,
2015,Rensselaer,"MAINT OF BRIDGES, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,15890.62,
2015,Rensselaer,"SNOW REMOVAL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,518860,
2015,Rensselaer,"SNOW REMOVAL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,1885147.19,
2015,Rensselaer,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,223169.1,
2015,Rensselaer,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,14719.83,
2015,Rensselaer,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,2865828.63,
2015,Rensselaer,DUE TO EMPLOYEES' RETIREMENT SYSTEM,BALANCE SHEET,LIABILITIES,,,,-0.06,
2015,Rensselaer,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,262657.82,
2015,Rensselaer,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,262657.82,
2015,Rensselaer,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,732320.59,
2015,Rensselaer,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,341730.3,
2015,Rensselaer,"STATE RETIREMENT, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,440573.53,
2015,Rensselaer,"SOCIAL SECURITY , EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,174871.32,
2015,Rensselaer,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,108186.31,
2015,Rensselaer,"UNEMPLOYMENT INSURANCE, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNEMPLOYMENT INSURANCE,Employee Benefits,8478,
2015,Rensselaer,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,514507.75,
2015,Rensselaer,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,390590.44,
2015,Rensselaer,"DEBT PRINCIPAL, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,DEBT PRINCIPAL,Debt Principal,89075,
2015,Rensselaer,"DEBT INTEREST, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,51258.7,
2015,Rensselaer,"TRANSFERS, CAPITAL PROJECTS FUND",STATEMENT OF EXPENDITURES AND OTHER USES,OTHER USES,OTHER USES,TRANSFERS,Interfund Transfer,295175,
2015,Rensselaer,ADMINISTRATION-CONTRACTUAL,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,74041,
2015,Rensselaer,"UNALLOCATED INSURANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,44777.29,
2015,Rensselaer,CASH,BALANCE SHEET,CURRENT ASSETS,,,,9798.96,
2015,Rensselaer,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,2.92,
2015,Rensselaer,RENTAL OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,2573724,
2015,Rensselaer,SALES OF SCRAP & EXCESS MATERIALS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,742.86,
2015,Rensselaer,"SALES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,8111.58,
2015,Rensselaer,REFUNDS OF PRIOR YEAR'S EXPENDITURES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,5985.29,
2015,Rensselaer,INTERFUND REVENUES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,47527.26,
2015,Rensselaer,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,13816,
2015,Rensselaer,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,2584560.97,
2015,Rensselaer,STATE & FEDERAL RECEIVABLES,BALANCE SHEET,CURRENT ASSETS,,,,953.56,
2015,Rensselaer,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,14963.74,
2015,Rensselaer,"MACHINERY, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Personal Services,375835.14,
2015,Rensselaer,"MACHINERY, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Equipment and Capital Outlay,35403,
2015,Rensselaer,"MACHINERY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Contractual,1100723.18,
2015,Rensselaer,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,111301.9,
2015,Rensselaer,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,2987.21,
2015,Rensselaer,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,1968315.22,
2015,Rensselaer,DUE TO EMPLOYEES' RETIREMENT SYSTEM,BALANCE SHEET,LIABILITIES,,,,-0.1,
2015,Rensselaer,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,255846.66,
2015,Rensselaer,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,255846.66,
2015,Rensselaer,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,541489,
2015,Rensselaer,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,14963.74,
2015,Rensselaer,UNEMPLOYMENT INSURANCE RESERVE,BALANCE SHEET,EQUITY - RESERVED,,,,,
2015,Rensselaer,"STATE RETIREMENT, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,59876.06,
2015,Rensselaer,"SOCIAL SECURITY, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,27054.92,
2015,Rensselaer,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,28162.51,
2015,Rensselaer,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,95841.26,
2015,Rensselaer,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,526525.26,
2015,Rensselaer,"DEBT PRINCIPAL, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,DEBT PRINCIPAL,Debt Principal,416344,
2015,Rensselaer,"DEBT INTEREST, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,92393.21,
2015,Rensselaer,LAND,BALANCE SHEET,FIXED ASSETS,,,,550000,
2015,Rensselaer,BUILDINGS,BALANCE SHEET,FIXED ASSETS,,,,20439030,
2015,Rensselaer,IMPROVEMENTS OTHER THAN BUILDINGS,BALANCE SHEET,FIXED ASSETS,,,,10873491,
2015,Rensselaer,EQUIPMENT,BALANCE SHEET,FIXED ASSETS,,,,4102159,
2015,Rensselaer,CONSTRUCTION WORK IN PROGRESS,BALANCE SHEET,FIXED ASSETS,,,,4123149,
2015,Rensselaer,"ACCUM DEPREC, BUILDINGS",BALANCE SHEET,FIXED ASSETS,,,,-14883279,
2015,Rensselaer,"ACCUM DEPR, IMP OTHER THAN BLD",BALANCE SHEET,FIXED ASSETS,,,,-10419440,
2015,Rensselaer,"ACCUM DEPR, MACHINERY & EQUIP",BALANCE SHEET,FIXED ASSETS,,,,-1791771,
2015,Rensselaer,PUBLIC NURSING HOME INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,41635872,
2015,Rensselaer,DEPRECIATION,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,MISCELLANEOUS GENERAL GOVERNMENT,Contractual,1612304,
2015,Rensselaer,CASH,BALANCE SHEET,CURRENT ASSETS,,,,2320,
2015,Rensselaer,CASH FROM OBLIGATIONS,BALANCE SHEET,CURRENT ASSETS,,,,225312,
2015,Rensselaer,"CASH, CUSTOMERS DEPOSITS",BALANCE SHEET,CURRENT ASSETS,,,,212189,
2015,Rensselaer,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,14799892,
2015,Rensselaer,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,7931374,
2015,Rensselaer,INVENTORY,BALANCE SHEET,CURRENT ASSETS,,,,151923,
2015,Rensselaer,"PUBLIC NURSING HOME, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH FACILITIES,Personal Services,19132925,
2015,Rensselaer,"PUBLIC NURSING HOME, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH FACILITIES,Contractual,9972037,
2015,Rensselaer,"PUBLIC NURSING HOME, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,9936433,
2015,Rensselaer,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,740374,
2015,Rensselaer,Deferred Outflows of Resources - Pensions,BALANCE SHEET,NON-CURRENT ASSETS,,,,2657056,
2015,Rensselaer,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,3000000,
2015,Rensselaer,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,1066982,
2015,Rensselaer,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,3535086,
2015,Rensselaer,CUSTOMERS' DEPOSITS,BALANCE SHEET,LIABILITIES,,,,212189,
2015,Rensselaer,BONDS PAYABLE,BALANCE SHEET,LIABILITIES,,,,22000000,
2015,Rensselaer,DUE TO EMPLOYEES' RETIREMENT,BALANCE SHEET,LIABILITIES,,,,2697566,
2015,Rensselaer,OTHER POST EMPLOYMENT BENEFITS,BALANCE SHEET,LIABILITIES,,,,13504257,
2015,Rensselaer,Deferred Inflows of Resources - Pensions,BALANCE SHEET,DEFERRED REVENUES,,,,504649,
2015,Rensselaer,PRIOR PERIOD ADJ-INCREASE IN FUND EQUITY,CHANGE IN EQUITY,INCREASE IN EQUITY,,,,,
2015,Rensselaer,PRIOR PERIOD ADJ-DECREASE IN FUND EQUITY,CHANGE IN EQUITY,DECREASE IN EQUITY,,,,1129826,
2015,Rensselaer,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,-6125334,
2015,Rensselaer,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,-7255160,
2015,Rensselaer,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,-3806950,
2015,Rensselaer,"NET ASSETS-INVSTED IN CAP ASTS, NET RLTD D",BALANCE SHEET,EQUITY - UNRESERVED,,,,-9006661,
2015,Rensselaer,NET ASSETS-UNRESTRICTED (DEFICIT),BALANCE SHEET,EQUITY - UNRESERVED,,,,5199711,
2015,Rensselaer,"INSTALLMENT PURCHASE DEBT, INT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,533963,
2015,Rensselaer,"FISCAL AGENTS FEES, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,7554,
2015,Rensselaer,"UNALLOCATED INSURANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,233894,
2015,Rensselaer,"OTHER GEN GOVT SUPPORT, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,157845,
2015,Rensselaer,CASH,BALANCE SHEET,CURRENT ASSETS,,,,224494.26,
2015,Rensselaer,SEWER RENTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SANITATION FEES,,8763481.92,
2015,Rensselaer,SEWER CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SANITATION FEES,,91962,
2015,Rensselaer,INTEREST & PENALTIES ON SEWER ACCTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SANITATION FEES,,99702.88,
2015,Rensselaer,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,14.35,
2015,Rensselaer,FORFEITURES OF DEPOSITS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FORFEITURES,,905,
2015,Rensselaer,INSURANCE RECOVERIES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,COMPENSATION FOR LOSS,,6192.62,
2015,Rensselaer,UNCLASSIFIED (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,422.05,
2015,Rensselaer,SEWER RENTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,1896902.8,
2015,Rensselaer,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,1462978.91,
2015,Rensselaer,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,300000,
2015,Rensselaer,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,107766.78,
2015,Rensselaer,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,162420.03,
2015,Rensselaer,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,1800.11,
2015,Rensselaer,CUSTOMERS DEPOSITS,BALANCE SHEET,LIABILITIES,,,,1775,
2015,Rensselaer,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,1497473.71,
2015,Rensselaer,DUE TO EMPLOYEES' RETIREMENT SYSTEM,BALANCE SHEET,LIABILITIES,,,,-0.14,
2015,Rensselaer,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,2606182.97,
2015,Rensselaer,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,2606182.97,
2015,Rensselaer,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,2328674.04,
2015,Rensselaer,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,107766.78,
2015,Rensselaer,"SEWER ADMINISTRATION, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Personal Services,153979.12,
2015,Rensselaer,"SEWER ADMINISTRATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Contractual,112176.75,
2015,Rensselaer,"SANITARY SEWERS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Contractual,467940.08,
2015,Rensselaer,"SEWAGE TREAT DISP, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Personal Services,1550666.7,
2015,Rensselaer,"SEWAGE TREAT DISP, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Equipment and Capital Outlay,2314.68,
2015,Rensselaer,"SEWAGE TREAT DISP, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,SEWER,Contractual,1310991.11,
2015,Rensselaer,"OTHER SANITATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,MISCELLANEOUS SANITATION,Contractual,73.62,
2015,Rensselaer,"STATE RETIREMENT, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,314803.05,
2015,Rensselaer,"SOCIAL SECURITY , EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,123526.27,
2015,Rensselaer,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,46769.56,
2015,Rensselaer,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,381262.81,
2015,Rensselaer,Assigned Appropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,114550,
2015,Rensselaer,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,2106357.26,
2015,Rensselaer,"DEBT PRINCIPAL, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,DEBT PRINCIPAL,Debt Principal,145145,
2015,Rensselaer,"DEBT INTEREST, SERIAL BONDS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,53540.92,
2015,Rensselaer,"DEBT PRINCIPAL, INSTALLMENT PURCHASE DEBT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,DEBT PRINCIPAL,Debt Principal,2019096.96,
2015,Rensselaer,"DEBT INTEREST, INSTALLMENT PURCHASE DEBT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,2158610.12,
2015,Rensselaer,"BUILDINGS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,1046537,
2015,Rensselaer,"OTHER GEN GOVT SUPPORT, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,427284.18,
2015,Rensselaer,CASH,BALANCE SHEET,CURRENT ASSETS,,,,5055217.47,
2015,Rensselaer,CASH FISCAL AGENT,BALANCE SHEET,CURRENT ASSETS,,,,4706518.94,
2015,Rensselaer,COMMUNITY COLLEGE CAPITAL COST,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,EDUCATION CHARGES,,1606005.98,
2015,Rensselaer,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,3493.91,
2015,Rensselaer,COMM COLLEGE -CAPITAL PROJECTS,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EDUCATION,COMMUNITY COLLEGE,Equipment and Capital Outlay,3456635.94,
2015,Rensselaer,PREMIUM & ACCRUED INTEREST ON OBLIGATIONS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,173075,
2015,Rensselaer,"PUBLIC SAFETY COMM SYS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Equipment and Capital Outlay,5294682.73,
2015,Rensselaer,"JAIL, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,18122.24,
2015,Rensselaer,"ST AID, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - EDUCATION,,1915460.15,
2015,Rensselaer,"ST AID, PUBLIC SAFETY-CAP PROJ",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,599877.15,
